id;name;Sprache
1009;Audi;DE
1010;Birgit Breuel;DE
1011;Coca Cola;DE
1012;Edzard Reuter;DE
1013;Daimler Ag;DE
1014;Dasa;DE
1015;Fokker;DE
1016;Herbert Henzler;DE
1017;Hannover;DE
1018;Bewag;DE
1019;Bahn;DE
1020;Bundesverkehrsministerium;DE
1021;Kraftwerk;DE
1022;Stinnes;DE
1023;Donau;DE
1024;Duisburg;DE
1025;Schwaben;DE
1026;Viktor Klima;DE
1027;Wolfgang Schüssel;DE
1028;Norbert Mappes Niediek;DE
1029;Spö;DE
1030;Övp;DE
1031;Ca;DE
1032;Bank Austria;DE
1033;Bankenwesen;DE
1034;Verwaltungsakt;DE
1035;Boris Jelzin;DE
1036;Anlageberater;DE
1037;Bausparvertrag;DE
1038;Handwerk;DE
1039;Johann Wolfgang Von Goethe;DE
1040;Ratgeber;DE
1041;Versicherung;DE
1042;Dow Jones;DE
1043;Reise;DE
1044;Aktiengesellschaft;DE
1045;Aktienindex;DE
1046;Börse;DE
1047;Dollar;DE
1048;Umsatz;DE
1049;Bundessozialgericht;DE
1050;Eugen Roth;DE
1051;Kurklinik;DE
1052;Jutta Limbach;DE
1053;Roman Herzog;DE
1054;Privilegium;DE
1055;Amtsbezug;DE
1056;Beamtenbezug;DE
1057;Initiative;DE
1058;Peter Grottian;DE
1059;Beamtenbund;DE
1060;Deutscher Beamtenbund;DE
1061;Grundsatz;DE
1062;Berufsbeamtentum;DE
1063;öffentlicher Dienst;DE
1064;Bernd Protzner;DE
1065;Csu;DE
1066;Bundestagswahl;DE
1067;Schaukampf;DE
1068;Solidaritätszuschlag;DE
1069;Abbau;DE
1070;Amoklauf;DE
1071;Fahrrad;DE
1072;Urlaub;DE
1073;Kolumbien;DE
1074;Äthiopien;DE
1075;Europäische Währungsunion;DE
1076;Regierung;DE
1077;Kündigungsschutz;DE
1078;Wirtschaftsminister;DE
1079;Andreas Botsch;DE
1080;Seoul;DE
1081;Nordchina;DE
1082;Bangkok;DE
1083;Taiwan;DE
1084;Philippinen;DE
1085;Südkorea;DE
1086;Oecd;DE
1087;Daewoo;DE
1088;Hyundai Motor;DE
1089;Acer;DE
1090;Ausstand;DE
1091;Generalstreik;DE
1092;Schiffbau;DE
1093;Tigerstaaten;DE
1094;Aktienkurse;DE
1095;Entwicklungsland;DE
1096;Heilung;DE
1097;Newsweek;DE
1098;Spiegel;DE
1099;Technik;DE
1100;Jürgen Bartsch;DE
1101;Josef Ludy;DE
1102;Stern;DE
1103;Geringschätzung;DE
1104;Psychiatrie;DE
1105;Ulrich Schnabel;DE
1106;William Carithers;DE
1107;Quark;DE
