id;title
873;Deutschland Nabel Der Welt 
874;Machtflüchter
875;Der Mord Und Die Hysterie
876;Maastricht O Maastricht
877;Dreimal Den Krieg Verloren 
878;Arafats Dilemma
879;Die Stunde Des Befreiers
880;Wir Opfern Nicht Den Starken Gulden 
881;Kein Grund Zum Jammern
882;Tausend Tage Arbeit
883;Der Beste Für Bosnien
884;Wenn Die Korruption Den Staat Vernichtet
885;Ausgerechnet Bananen
886;Die Humanität Gerammt
887;Riggs Liste
888;Für Goebbels In Paris
889;Der Oberst Der Den Rabbi Aus Dem Ghetto Rettete
890;Historiker In Eile
891;Der Held Von Kursk
892;Gott Näher Als Hitler
893;Dem Führer Blond Genug
894;Eine Last Für Die Menschheit Auf Wachstumskurs
895;Politik Am Stammtisch
896;Machtverlust
897;Fernsehen Schlappe Für Kirch Lufthansa Krach Mit Dem Cockpit Versicherung Geschäfte Mit Aliens
898;Nur Keine Panik
899;König Der Absahner
900;Zurück An Den Rhein
901;Kartell Der Egoisten
902;Unruhige Zeiten
